descricao,sigla,id
DEPTO DE SEGURANCA E VIGILANCIA,DOSV,76
SEGURANCA OPERACIONAL-LINHAS 7/10,DOSV,77
SEGURANCA OPERACIONAL-LINHAS 8/9,DOSV,78
EQUIPE SEGURANCA - LINHA 7,DOSV,92
SERVICO DE INTELIGENCIA INTEGRADO,DOSV,127
GRUPAMENTO LINHA 7- BARRA FUNDA,DOSV,128
GRUPAMENTO LINHA 7-FRANCISCO MORATO,DOSV,129
GRUPAMENTO LINHA 10-TAMANDUATEI,DOSV,130
EQUIPE SEGURANCA - LINHA 8,DOSV,131
GRUPAMENTO LINHA 8- JULIO PRESTES,DOSV,132
GRUPAMENTO LINHA 8-PRES ALTINO,DOSV,133
GRUPAMENTO LINHA 8- CARAPICUIBA,DOSV,134
EQUIPE SEGURANCA - LINHA 9,DOSV,135
GRUPAMENTO LINHA 9-GRANJA JULIETA,DOSV,136
EQUIPE SEGURANCA - LINHA 10,DOSV,178
GRUPAMENTO LINHA 9- PINHEIROS,DOSV,179
GRUPAMENTO LINHA 8-JANDIRA,DOSV,190
GRUPAMENTO LINHA 10 - BASE MAUA,DOSV,214
SEGURANCA OPERACIONAL-LINHAS 11/12/13,DOSV,343
EQUIPE SEGURANCA - LINHA 11,DOSV,344
GRUPAMENTO LINHA 11- GUAIANAZES,DOSV,345
GRUPAMENTO LINHA 11- SUZANO,DOSV,346
EQUIPE SEGURANCA - LINHA 12,DOSV,347
GRUPAMENTO LINHA 12 - BRAS,DOSV,348
GRUPAMENTO LINHA 12 - ITAIM PAULISTA,DOSV,349
EQUIPE SEGURANÇA - LINHA 13,DOSV,353
GRUPAMENTO LINHA 13 - ENG GOULART,DOSV,354
EQUIPE SISTEMAS DE ENERGIA,DOTI,54
EQUIPE SINALIZACAO E TELECOMUNICACOES,DOTI,55
DEPTO DE ENG DE MANUT INST FIXAS,DOTI,112
EQUIPE SISTEMAS ELETROMECANICOS,DOTI,512
DEPTO DE ENG DE MANUT DE MATERIAL RODANTE,DOTM,3
DEPTO DE ENGENHARIA DE MANUTENCAO DE MATERIAL RODANTE,DOTM,443
EQUIPE ENGENHARIA DE PROJETOS DO MATERIAL RODANTE,DOTM,444
EQUIPE ENGENHARIA DE MANUTENCAO DE TRENS,DOTM,445
EQUIPE ENGENHARIA DE MANUT DE VEICULOS E MAQ AUX DO MATERIAL RODANTE,DOTM,446
EQUIPE DE PROGRAMAS ESPECIAIS DO MATERIAL RODANTE,DOTM,447
DEPTO DE ENG DE MANUTENCAO DE VP E ESTRUTURA CIVIL,DOTV,1
EQUIPE DE EDIFICACOES,DOTV,2
EQUIPE VIA PERMANENTE,DOTV,249
"DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 7, 8 e 9",DOVC,414
